date,Actual_Sales,Train_Forecast,Test_Forecast,Train_Residuals,Test_Residuals
2015-01-31,51235.0,57044.34130511245,,-5809.341305112452,
2015-02-28,51322.0,57211.131744723956,,-5889.131744723956,
2015-03-31,51273.0,57352.995978176834,,-6079.995978176834,
2015-04-30,51136.0,57503.60308231064,,-6367.603082310641,
2015-05-31,51191.0,57641.33573265634,,-6450.335732656342,
2015-06-30,51404.0,57808.09980887307,,-6404.09980887307,
2015-07-31,51572.0,57990.253925881974,,-6418.253925881974,
2015-08-31,51526.0,58148.63437848613,,-6622.634378486131,
2015-09-30,51419.0,58283.41077329184,,-6864.410773291842,
2015-10-31,51280.0,58420.5662280198,,-7140.566228019801,
2015-11-30,51596.0,58575.297961086995,,-6979.297961086995,
2015-12-31,51376.0,58759.19253547858,,-7383.192535478578,
2016-01-31,51598.0,58914.988461467,,-7316.988461467001,
2016-02-29,51578.0,59044.84896951598,,-7466.848969515981,
2016-03-31,51172.0,59239.496697531344,,-8067.496697531344,
2016-04-30,51832.0,59329.637619746616,,-7497.637619746616,
2016-05-31,51957.0,59542.42108118384,,-7585.421081183842,
2016-06-30,52276.0,59750.062744968876,,-7474.062744968876,
2016-07-31,51976.0,59842.19001122295,,-7866.190011222949,
2016-08-31,52212.0,59998.96789625657,,-7786.967896256567,
2016-09-30,52510.0,60126.43043602653,,-7616.4304360265305,
2016-10-31,52818.0,60352.06912903615,,-7534.06912903615,
2016-11-30,52834.0,60487.30320514256,,-7653.303205142562,
2016-12-31,53210.0,60630.466130128494,,-7420.466130128494,
2017-01-31,53316.0,60783.939140746166,,-7467.939140746166,
2017-02-28,53687.0,60958.36663717165,,-7271.366637171654,
2017-03-31,54117.0,61095.68134158735,,-6978.681341587348,
2017-04-30,54199.0,61288.02208557418,,-7089.022085574179,
2017-05-31,54318.0,61410.682865968614,,-7092.682865968614,
2017-06-30,54152.0,61543.95031031409,,-7391.950310314089,
2017-07-31,54139.0,61692.28608689281,,-7553.286086892811,
2017-08-31,54430.0,61831.86824499011,,-7401.86824499011,
2017-09-30,55012.0,62030.133659689935,,-7018.133659689935,
2017-10-31,55200.0,62219.87174694761,,-7019.8717469476105,
2017-11-30,55239.0,62364.04627235952,,-7125.046272359519,
2017-12-31,55885.0,62471.43749010615,,-6586.437490106153,
2018-01-31,55336.0,62669.6322568008,,-7333.632256800804,
2018-02-28,55555.0,62790.31500756965,,-7235.315007569647,
2018-03-31,55716.0,62887.26499748659,,-7171.264997486593,
2018-04-30,55859.0,63140.86503327009,,-7281.865033270093,
2018-05-31,55897.0,63251.976086497845,,-7354.976086497845,
2018-06-30,55696.0,63414.58311193289,,-7718.583111932887,
2018-07-31,56057.0,63540.555824273615,,-7483.555824273615,
2018-08-31,55937.0,63720.763013102514,,-7783.763013102514,
2018-09-30,56177.0,63892.63170736947,,-7715.631707369474,
2018-10-31,56408.0,64016.27357895451,,-7608.273578954511,
2018-11-30,56569.0,64219.98237667332,,-7650.982376673317,
2018-12-31,56629.0,64350.933875691306,,-7721.933875691306,
2019-01-31,57470.0,64500.8320228555,,-7030.832022855502,
2019-02-28,56351.0,64699.766376687956,,-8348.766376687956,
2019-03-31,57446.0,64786.44138634897,,-7340.441386348968,
2019-04-30,57652.0,64914.909123659716,,-7262.909123659716,
2019-05-31,57652.0,65249.02261055051,,-7597.0226105505135,
2019-06-30,57913.0,65229.61371819097,,-7316.613718190973,
2019-07-31,58604.0,65446.09597209917,,-6842.095972099167,
2019-08-31,58671.0,65633.95760567136,,-6962.957605671356,
2019-09-30,58124.0,65777.54785842127,,-7653.547858421269,
2019-10-31,57880.0,65830.59722497108,,-7950.597224971076,
2019-11-30,58049.0,65983.08643348402,,-7934.086433484015,
2019-12-31,58537.0,66201.03726719522,,-7664.037267195221,
